epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8669,3.31461,4.23405,4.25923,0.00176,0.58442,0.02101,0.00333,3.73666,4.31904,4.15975,0.00020004,0.00020004,0.00020004
2,87.8653,3.20042,4.11971,4.11689,0.00187,0.61605,0.02225,0.00353,3.72674,4.30667,4.15957,0.000408498,0.000408498,0.000408498
3,130.16,2.8426,3.89194,3.97462,0.00218,0.66756,0.01288,0.00229,3.71475,4.2543,4.16063,0.000608375,0.000608375,0.000608375
4,169.038,2.63258,3.68282,3.70526,0.0022,0.67674,0.01813,0.00312,3.88745,4.24667,4.2803,0.00079967,0.00079967,0.00079967
5,210.119,2.47562,3.54665,3.49495,0.0022,0.67756,0.02136,0.00334,3.97887,4.23768,4.37844,0.000982383,0.000982383,0.000982383
6,251.47,2.49805,3.34976,3.37532,0.002,0.64349,0.01897,0.00304,4.09026,4.16594,4.47354,0.00115651,0.00115651,0.00115651
7,292.492,2.40489,3.27487,3.19159,0.00153,0.42395,0.01132,0.00152,4.10665,4.30956,4.4724,0.00132206,0.00132206,0.00132206
8,333.732,2.3543,3.21885,3.10661,0.00103,0.33721,0.00993,0.00161,4.16563,4.09002,5.08808,0.00143595,0.00143595,0.00143595
9,375.16,2.3377,3.15492,3.06094,0.11211,0.38953,0.21513,0.07417,2.31029,10.3769,3.05744,0.00140295,0.00140295,0.00140295
10,416.448,2.34079,3.07927,3.00502,0.09715,0.86174,0.2664,0.06954,2.32745,22.0723,3.39094,0.00136994,0.00136994,0.00136994
11,457.819,2.26738,3.03451,2.92819,0.19982,0.60977,0.1856,0.04591,2.30154,8.91743,3.00958,0.00133693,0.00133693,0.00133693
12,498.939,2.32625,2.8688,2.91422,0.13891,0.8243,0.24356,0.08817,2.23521,32.5692,2.48198,0.00130393,0.00130393,0.00130393
13,540.28,2.27879,2.80733,2.8819,0.16474,0.505,0.44651,0.16834,2.28111,16.65,2.41365,0.00127092,0.00127092,0.00127092
14,581.528,2.24987,2.73319,2.88929,0.0258,0.84174,0.04294,0.00922,2.72897,6.52331,3.73926,0.00123791,0.00123791,0.00123791
15,622.821,2.20428,2.74275,2.83934,0.65031,0.38372,0.32579,0.07613,1.8981,4.09723,2.80479,0.00120491,0.00120491,0.00120491
16,663.906,2.12595,2.77173,2.76662,0.12307,0.51663,0.2717,0.06049,2.13008,3.63269,2.81863,0.0011719,0.0011719,0.0011719
17,704.598,2.17623,2.66116,2.76346,0.19563,0.18814,0.11015,0.02213,1.99502,5.39336,3.01457,0.00113889,0.00113889,0.00113889
18,745.444,2.05513,2.58152,2.69075,0.12611,0.06,0.05336,0.0088,1.75443,4.43553,2.6287,0.00110589,0.00110589,0.00110589
19,785.959,2.08155,2.56019,2.69424,0.20744,0.22733,0.17454,0.03815,1.86882,3.69213,2.55669,0.00107288,0.00107288,0.00107288
20,826.609,2.07394,2.49682,2.6355,0.70537,0.35465,0.42436,0.1505,1.75734,3.29112,2.38071,0.00103987,0.00103987,0.00103987
21,867.314,2.04338,2.47573,2.63721,0.36071,0.62268,0.48501,0.14413,2.11572,2.47148,2.1976,0.00100687,0.00100687,0.00100687
22,908.2,1.90869,2.35581,2.51884,0.73319,0.42442,0.40146,0.13825,1.70185,2.59445,2.17023,0.000973861,0.000973861,0.000973861
23,948.811,1.99068,2.35415,2.59694,0.36651,0.66337,0.61439,0.26109,1.60731,2.10781,2.11315,0.000940855,0.000940855,0.000940855
24,989.575,1.93055,2.35202,2.5211,0.32004,0.6859,0.5542,0.27448,1.40159,2.02003,1.99741,0.000907848,0.000907848,0.000907848
25,1030.26,1.92425,2.27189,2.51073,0.39286,0.7549,0.57717,0.30818,1.48413,2.05605,2.16677,0.000874842,0.000874842,0.000874842
26,1070.86,1.89796,2.25198,2.50317,0.46428,0.65701,0.49259,0.2235,1.89005,2.43331,2.15504,0.000841835,0.000841835,0.000841835
27,1111.49,1.87342,2.13441,2.49733,0.37209,0.94,0.60867,0.22385,1.868,2.44275,2.2602,0.000808828,0.000808828,0.000808828
28,1152.17,1.89306,2.15568,2.46561,0.48379,0.78605,0.67851,0.21881,1.88719,2.37481,2.51689,0.000775822,0.000775822,0.000775822
29,1192.92,1.87692,2.1758,2.51876,0.35794,0.88116,0.40681,0.17463,1.61584,2.30766,2.52848,0.000742815,0.000742815,0.000742815
30,1233.53,1.86988,2.10037,2.50722,0.5951,0.83256,0.81518,0.37535,1.44244,1.80289,2.23314,0.000709809,0.000709809,0.000709809
31,1274.58,1.87623,2.08598,2.44983,0.36887,0.77919,0.7311,0.30182,1.51636,2.53722,2.16795,0.000676802,0.000676802,0.000676802
32,1315.29,1.8067,2.06821,2.38882,0.60413,0.7764,0.76764,0.32314,1.54631,1.93869,2.24226,0.000643795,0.000643795,0.000643795
33,1355.89,1.80135,1.97402,2.38193,0.67753,0.70589,0.8009,0.38147,1.50651,1.76971,2.12469,0.000610789,0.000610789,0.000610789
34,1396.6,1.79385,1.97923,2.3803,0.58961,0.8255,0.75357,0.3663,1.43492,1.67654,2.12055,0.000577782,0.000577782,0.000577782
35,1437.16,1.8522,1.98063,2.41672,0.7942,0.83332,0.87253,0.38348,1.54407,1.63004,2.0745,0.000544776,0.000544776,0.000544776
36,1478.01,1.77894,1.90896,2.35741,0.77558,0.80947,0.85452,0.39737,1.3716,1.66149,2.00971,0.000511769,0.000511769,0.000511769
37,1518.82,1.75685,1.85191,2.34064,0.81423,0.84849,0.85,0.39942,1.51438,1.62259,2.12507,0.000478762,0.000478762,0.000478762
38,1559.69,1.77,1.92501,2.33914,0.53027,0.53591,0.61779,0.28376,1.77386,2.23973,2.14774,0.000445756,0.000445756,0.000445756
39,1600.44,1.71481,1.82189,2.27928,0.63495,0.65396,0.80724,0.39068,1.53939,2.06206,2.15655,0.000412749,0.000412749,0.000412749
40,1641.19,1.77284,1.86372,2.34115,0.78646,0.88532,0.85768,0.45772,1.3895,1.56027,2.07197,0.000379743,0.000379743,0.000379743
41,1681.53,1.64471,2.09124,2.20401,0.80805,0.87419,0.83651,0.33611,1.5622,1.75202,2.151,0.000346736,0.000346736,0.000346736
42,1719.3,1.54769,1.81506,2.07215,0.55705,0.69423,0.73951,0.30057,1.55899,2.23296,2.10533,0.000313729,0.000313729,0.000313729
43,1759.61,1.5293,1.74289,2.06289,0.83202,0.81506,0.85013,0.33457,1.45622,2.16308,2.07818,0.000280723,0.000280723,0.000280723
44,1800.72,1.5294,1.7006,2.07082,0.69966,0.83468,0.84617,0.39969,1.36825,1.68715,1.89204,0.000247716,0.000247716,0.000247716
45,1841.25,1.5407,1.66475,2.1046,0.67656,0.7943,0.72682,0.37161,1.36781,1.56162,2.08024,0.00021471,0.00021471,0.00021471
46,1881.83,1.48304,1.61144,2.02026,0.72737,0.83256,0.7593,0.40038,1.32146,1.49823,2.04511,0.000181703,0.000181703,0.000181703
47,1922.29,1.48813,1.5854,2.00609,0.77546,0.84593,0.83381,0.43137,1.30475,1.48918,2.03354,0.000148696,0.000148696,0.000148696
48,1962.68,1.50893,1.59082,2.03885,0.71547,0.85486,0.7994,0.42746,1.29078,1.49198,2.01807,0.00011569,0.00011569,0.00011569
49,2002.96,1.46095,1.58385,1.97868,0.71201,0.81564,0.7868,0.4159,1.28698,1.48396,2.01215,8.26832e-05,8.26832e-05,8.26832e-05
50,2043.43,1.41868,1.55138,1.97904,0.7435,0.7743,0.76081,0.41452,1.3037,1.47546,2.03476,4.96766e-05,4.96766e-05,4.96766e-05
